Pest,Pesticide ,URL
Corn Earworm,"Bacillus thuringiensis, Carbaryl, Cypermethrin","https://5.imimg.com/data5/SELLER/Default/2023/2/CE/IN/IF/108900452/bacillus-thuringiensis.jpg , https://image.made-in-china.com/2f0j00oNphIltqZmcu/Agrochemical-Pesticide-Crop-Protection-Insecticide-99-Tc-85-Wp-Carbaryl.webp , https://krushikendra.com/image/cache/2023/Cyper-25-500x500.jpg"
Flea Beetle,"Imidacloprid, Thiamethoxam, Pyrethroids","https://m.media-amazon.com/images/I/81vlud0yisL.jpg , https://m.media-amazon.com/images/I/81lVTHCYTWL._AC_UF350,350_QL80_.jpg , https://www.katyayaniorganics.com/wp-content/uploads/2022/06/Pyrethrum-2_-Extract_resize-1.png"
Thrips,"Spinosad, Abamectin, Imidacloprid","https://www.katyayaniorganics.com/wp-content/uploads/2022/06/Untitled-design-23.png , https://image.made-in-china.com/2f0j00EqeoAZSFLtcG/Abamectin-1-8-Ec-3-6-Ec-5-Ec-Broad-Specturm-Insecticide-Pesticide.webp , https://krishisevakendra.in/cdn/shop/products/4-13.png?v=1692779194&width=1946"
Black Cutworm,"Chlorantraniliprole, Flubendiamide, Emamectin benzoate","https://5.imimg.com/data5/SELLER/Default/2023/8/332117125/TJ/PN/SQ/42481944/chlorantraniliprole-18-5-sc.jpg , https://5.imimg.com/data5/SELLER/Default/2023/7/328681466/XI/BA/SK/42481944/flubendiamide-39-5-sc.jpg , https://5.imimg.com/data5/SELLER/Default/2023/10/354026096/WO/XB/ID/2797039/emamectin-benzoate-5-sg-insecticide.jpeg"
Silverleaf Whitefly,"Imidacloprid, Thiamethoxam, Pyrethroids","https://5.imimg.com/data5/SELLER/Default/2023/10/351562289/YG/PC/KP/2797039/imidacloprid-70-wg-systemic-insecticide.png , https://agribegri.com/productimage/a0bc73db22bfc213af4de98b97e42a2f-06-26-21-16-43-24.jpg , https://agribegri.com/productimage/57d9366a16885f5bd032f6e95ff4bf96-09-21-20-16-37-24.JPG"
Field Cricket,"Carbaryl, Permethrin, Cyfluthrin","https://s3.amazonaws.com/cdn.ourprosolutions.com/images/uploads/Carbaryl-4L.webp , https://www.gordonsusa.com/wp-content/uploads/2018/08/Permethrin-10-QT-PS-high.png , https://5.imimg.com/data5/SELLER/Default/2021/4/KH/XS/WF/73077736/cyfluthrin-5-ew.png"
aphids,"Imidacloprid, Acetamiprid, Thiamethoxam","https://www.katyayaniorganics.com/wp-content/uploads/2022/06/2-14.png , https://5.imimg.com/data5/SELLER/Default/2023/4/297760527/CK/XT/AU/163195891/acetamiprid-20-sp.jpg , https://www.katyayaniorganics.com/wp-content/uploads/2022/06/thioxam-768x902-1.png"
Cotton Bollworm,"Chlorantraniliprole, Emamectin benzoate, Spinosad, Indoxacarb","https://5.imimg.com/data5/SELLER/Default/2023/8/332117125/TJ/PN/SQ/42481944/chlorantraniliprole-18-5-sc.jpg , https://5.imimg.com/data5/SELLER/Default/2023/10/354026096/WO/XB/ID/2797039/emamectin-benzoate-5-sg-insecticide.jpeg , https://www.katyayaniorganics.com/wp-content/uploads/2022/06/Untitled-design-23.png , https://5.imimg.com/data5/SELLER/Default/2022/1/KW/QR/IC/14575928/indocarb-indoxacarb-14-5-sc-.jpg"
Beet Armyworm,"Chlorpyrifos, Lambda-cyhalothrin, Bifenthrin","https://5.imimg.com/data5/SELLER/Default/2023/3/296542869/BS/MB/GS/5907974/chlorpyrifos-20-ec.JPG , https://www.agriplexindia.com/cdn/shop/products/Laksh_3.png?v=1676026780 , https://atfagrisciences.com/wp-content/uploads/2023/06/atfagrisciences-bifenthrin-10-percent-ec-product.png "
Red Spider Mite,"Abamectin, Bifenazate, Spiromesifen","https://image.made-in-china.com/2f0j00EqeoAZSFLtcG/Abamectin-1-8-Ec-3-6-Ec-5-Ec-Broad-Specturm-Insecticide-Pesticide.webp , https://image.made-in-china.com/2f0j00DmRWoCpsAekY/Bifenazate-25-Etoxazole-15-40-SC-Strong-Killing-Effect-Insecticide-Acaricide.webp , https://5.imimg.com/data5/ANDROID/Default/2023/8/336156857/EW/OP/BZ/105023482/product-jpeg.jpg"
